loan_id,issue_month,fico,annual_inc,dti,revol_util,emp_length_yrs,loan_amnt,term,int_rate,home_ownership,purpose,default_60d
L104391,22,760,"$97,843.59",15.96,66.1%,7 years,25300, 36 months,9.92%,OWN,debt_consolidation,0
L104392,13,631,"$89,967.53",23.97,58.4%,2 years,15700, 36 months,16.77%,Rent,credit_card,1
L104393,23,639,47655.84,11.54,44.6%,10+ years,12900, 36 months,14.29%,MORTGAGE,major_purchase,0
L104394,13,626,94641.98,28.34,73.0%,6 years,20100, 60 months,18.34%,rent,debt_consolidation,0
L104395,21,704,"$34,669.95",25.72,87.0%,< 1 year,26900, 36 months,10.36%,Mortgage,debt_consolidation,0
L104396,13,694,"$39,294.45",25.85,34.2%,6 years,12900, 60 months,11.87%,Rent,credit_card,0
L104397,19,9999,78808.39,36.25,12.3%,4 years,22000, 36 months,16.98%,own,major_purchase,0
L104398,6,634,53918.52,21.37,49.7%,5 years,14900, 36 months,15.75%,RENT,debt_consolidation,1
L104399,11,620,"$43,802.52",18.99,24.9%,,24700, 36 months,16.68%,rent,debt_consolidation,1
L104400,14,687,"$56,569.93",21.75,69.9%,10+ years,23200, 36 months,12.84%,Rent,debt_consolidation,0
L104401,1,664,115772.49,14.71,26.2%,3 years,15600, 60 months,12.86%,Mortgage,credit_card,0
L104402,24,652,"$113,549.90",17.32,101.2%,5 years,21300, 36 months,15.49%,own,debt_consolidation,0
L104403,2,775,"$74,092.02",11.35,23.2%,9 years,15300, 60 months,8.74%,MORTGAGE,medical,0
L104404,1,685,"50,125",28.87,49.0%,9 years,22300, 36 months,13.43%,RENT,credit_card,0
L104405,14,760,"$77,707.45",9.96,57.1%,9 years,14100, 36 months,10.36%,Mortgage,debt_consolidation,0
L104406,7,661,38901.04,11.46,35.8%,10+ years,7800, 60 months,15.77%,RENT,major_purchase,0
L104407,4,703,"$107,417.04",16.3,47.6%,< 1 year,7000, 60 months,13.06%,own,other,0
L104408,3,687,96298.93,9.18,57.0%,7 years,16900, 36 months,10.22%,MORTGAGE,debt_consolidation,0
L104409,21,597,N/A,12.79,100.3%,4 years,26000, 36 months,17.64%,MORTGAGE,medical,1
L104410,18,769,0,15.16,60.8%,2 years,12100, 60 months,7.53%,Own,debt_consolidation,0
L104411,14,683,37678.74,24.37,53.8%,9 years,14900, 36 months,13.56%,MORTGAGE,other,1
L104412,14,731,"$78,878.35",6.42,83.4%,4 years,21300, 60 months,11.47%,mortgage,other,0
L104413,16,649,52214.67,13.83,69.1%,4 years,7900, 36 months,14.12%,rent,debt_consolidation,0
L104414,15,681,-1,20.4,83.1%,7 years,26600, 60 months,12.28%,rent,credit_card,0
L104415,18,642,115711.47,22.0,31.1%,2 years,24400, 60 months,18.84%,MORTGAGE,medical,0
L104416,16,758,"$140,280.93",38.75,16.1%,10+ years,24600, 36 months,10.46%,Mortgage,credit_card,0
L104417,16,707,"61,648",29.7,95.1%,8 years,15800, 36 months,11.77%,MORTGAGE,debt_consolidation,0
L104418,7,710,92984.89,31.22,64.7%,5 years,12400, 36 months,13.81%,OWN,debt_consolidation,0
L104419,21,765,,5.72,38.5%,,7700, 36 months,8.79%,Rent,credit_card,0
L104420,17,754,"$66,743.19",20.68,24.8%,10 years,12700, 36 months,6.95%,MORTGAGE,credit_card,0
L104421,12,732,58295.58,23.03,41.6%,2 years,6600, 60 months,13.62%,own,home_improvement,0
L104422,14,9999,"56,761",,99.3%,< 1 year,3700, 36 months,18.53%,Mortgage,debt_consolidation,1
L104423,21,652,149038.26,16.11,,7 years,14900, 36 months,12.41%,rent,debt_consolidation,0
L104424,5,635,30606.27,24.49,98.4%,9 years,14600, 60 months,15.69%,MORTGAGE,small_business,1
L104425,8,730,"$59,725.29",24.95,37.3%,6 years,30600, 36 months,9.86%,Rent,credit_card,0
L104426,6,699,"$61,505.71",28.21,51.8%,2 years,1000, 36 months,15.57%,MORTGAGE,debt_consolidation,1
L104427,4,614,"$82,590.54",19.06,52.5%,10+ years,25200, 36 months,16.04%,Own,credit_card,0
L104428,1,680,"$34,593.25",13.68,55.7%,2 years,22400, 60 months,13.32%,Own,small_business,1
L104429,12,9999,"$51,560.31",22.86,14.2%,4 years,13300, 60 months,19.02%,Mortgage,debt_consolidation,1
L104430,10,687,"$44,449.84",19.63,114.3%,7 years,21400, 36 months,11.41%,MORTGAGE,debt_consolidation,0
L104431,20,599,"19,420",21.76,70.3%,,27600, 60 months,17.85%,Mortgage,major_purchase,1
L104432,15,719,"$107,070.10",3.12,72.8%,9 years,6600, 36 months,11.07%,OWN,debt_consolidation,0
L104433,13,711,28710.95,18.06,54.7%,10+ years,6300, 36 months,10.77%,Mortgage,small_business,0
L104434,8,795,26859.92,21.42,,5 years,20100, 36 months,8.69%,MORTGAGE,credit_card,0
L104435,21,737,96164.35,18.05,63.8%,< 1 year,19500, 36 months,9.54%,Rent,credit_card,0
L104436,13,667,"$50,643.82",16.96,,6 years,21600, 60 months,16.67%,RENT,credit_card,1
L104437,5,735,"$51,526.83",16.95,30.0%,10+ years,10300, 36 months,9.84%,rent,debt_consolidation,0
L104438,4,613,52020.34,11.0,35.8%,8 years,18400, 36 months,19.03%,RENT,credit_card,0
L104439,7,637,102455.65,24.9,76.7%,8 years,10900, 36 months,17.73%,own,debt_consolidation,0
L104440,9,708,,15.65,87.5%,4 years,7200, 36 months,13.59%,Mortgage,major_purchase,0
L104441,15,571,"80,622",0.0,,10+ years,12200, 36 months,19.02%,Rent,debt_consolidation,0
L104442,11,688,"33,840",13.12,46.3%,6 years,6200, 36 months,11.63%,RENT,credit_card,0
L104443,14,634,"$70,616.74",11.89,45.5%,8 years,1000, 36 months,16.37%,MORTGAGE,debt_consolidation,0
L104444,10,696,"$94,027.81",15.4,74.3%,10+ years,10000, 60 months,12.81%,mortgage,major_purchase,0
L104445,3,631,120879.35,12.82,48.8%,8 years,4800, 36 months,13.76%,MORTGAGE,small_business,0
L104446,12,713,27596.25,17.12,44.0%,n/a,10300, 60 months,15.99%,MORTGAGE,credit_card,0
L104447,2,691,"$51,619.33",19.58,32.4%,4 years,4100, 60 months,13.45%,Mortgage,debt_consolidation,0
L104448,13,767,N/A,11.67,75.8%,4 years,7300, 60 months,8.2%,rent,other,0
L104449,2,690,"94,934",18.42,50.6%,5 years,15900, 60 months,11.98%,mortgage,debt_consolidation,0
L104450,18,648,"$54,203.13",23.32,44.2%,10 years,16400, 36 months,16.22%,RENT,credit_card,0
L104451,21,676,"59,988",15.15,50.2%,,28500, 36 months,14.54%,Rent,debt_consolidation,0
L104452,19,616,69460.21,23.28,92.4%,4 years,10100, 36 months,15.83%,mortgage,debt_consolidation,1
L104453,19,712,"$49,687.52",28.59,59.3%,< 1 year,27400, 36 months,11.24%,Rent,credit_card,0
L104454,2,722,"$78,713.91",10.46,90.0%,8 years,17800, 36 months,11.22%,rent,debt_consolidation,0
L104455,9,826,"76,516",20.36,28.6%,< 1 year,5100, 36 months,5.0%,mortgage,home_improvement,0
L104456,1,656,34290.02,34.29,56.0%,2 years,21600, 36 months,16.57%,Mortgage,debt_consolidation,0
L104457,11,675,"$46,869.11",19.92,,3 years,14400, 60 months,16.08%,mortgage,debt_consolidation,0
L104458,18,658,"$47,712.87",11.39,119.1%,6 years,27700, 60 months,18.06%,Mortgage,debt_consolidation,1
L104459,17,702,52693.04,21.91,52.7%,8 years,28700, 36 months,11.1%,Rent,debt_consolidation,0
L104460,19,711,68523.92,16.66,30.9%,4 years,11300, 36 months,7.88%,RENT,credit_card,0
L104461,12,687,0,,61.3%,5 years,15600, 36 months,12.17%,own,major_purchase,0
L104462,20,750,41777.87,16.64,66.2%,10+ years,1100, 60 months,8.93%,mortgage,debt_consolidation,0
L104463,13,656,117024.36,8.83,,4 years,3200, 36 months,13.8%,Rent,home_improvement,0
L104464,22,744,60025.7,4.86,42.8%,8 years,20700, 36 months,7.41%,own,home_improvement,0
L104465,22,720,"$124,468.70",24.94,85.9%,n/a,8700, 60 months,12.41%,mortgage,credit_card,0
L104466,19,689,-1,0.0,56.9%,7 years,17500, 36 months,14.23%,RENT,home_improvement,0
L104467,19,673,35256.26,29.17,65.6%,,15800, 36 months,16.78%,own,debt_consolidation,0
L104468,14,9999,"46,856",22.55,69.8%,10+ years,12400, 36 months,5.63%,OWN,debt_consolidation,0
L104469,1,645,"$48,599.44",29.96,51.1%,10+ years,7700, 60 months,16.31%,RENT,credit_card,0
L104470,2,706,70028.34,31.32,16.9%,10+ years,12900, 36 months,13.37%,mortgage,debt_consolidation,0
L104471,23,649,"$86,094.82",26.99,58.2%,10+ years,16000, 60 months,18.12%,MORTGAGE,debt_consolidation,0
L104472,14,788,"$64,438.28",14.58,40.5%,2 years,13700, 60 months,8.46%,MORTGAGE,credit_card,0
L104473,8,739,"$45,458.16",,24.2%,10+ years,14300, 60 months,7.48%,MORTGAGE,debt_consolidation,0
L104474,10,653,136735.25,18.91,57.5%,8 years,10700, 36 months,14.7%,mortgage,debt_consolidation,0
L104475,6,718,"$48,087.94",25.95,29.3%,10+ years,12300, 36 months,11.04%,mortgage,debt_consolidation,0
L104476,22,704,"86,761",33.15,57.1%,10+ years,18700, 36 months,10.19%,Rent,home_improvement,0
L104477,19,662,"$58,771.87",9.96,,7 years,10900, 36 months,14.91%,Mortgage,credit_card,0
L104478,6,732,"$57,954.68",24.49,,4 years,14400, 36 months,7.58%,OWN,credit_card,0
L104479,5,711,83857.66,18.32,29.1%,2 years,13800, 36 months,8.74%,mortgage,debt_consolidation,0
L104480,14,702,129508.44,18.34,,7 years,4800, 36 months,10.58%,Rent,debt_consolidation,0
L104481,23,688,"$69,737.66",23.2,57.6%,1 years,20100, 36 months,11.86%,Rent,major_purchase,0
L104482,15,714,-1,0.0,83.9%,7 years,26300, 36 months,10.51%,own,credit_card,0
L104483,9,703,125496.89,18.23,72.3%,10+ years,32300, 36 months,13.68%,rent,debt_consolidation,0
L104484,1,693,"$76,643.67",8.11,21.0%,4 years,16900, 60 months,11.4%,MORTGAGE,major_purchase,0
L104485,4,655,"$65,197.82",23.88,42.8%,1 years,28400, 60 months,16.95%,own,home_improvement,0
L104486,12,783,-1,20.5,46.0%,10+ years,29500, 60 months,8.63%,Mortgage,home_improvement,0
L104487,10,632,"$70,340.95",31.55,21.3%,2 years,16700, 36 months,17.27%,RENT,other,1
L104488,18,9999,"$204,531.29",29.96,38.0%,4 years,13300, 36 months,11.44%,rent,credit_card,0
L104489,19,672,"$59,929.77",13.18,28.5%,4 years,22200, 36 months,14.77%,Own,debt_consolidation,0
L104490,12,9999,106385.71,20.21,91.9%,6 years,15700, 36 months,5.0%,Mortgage,home_improvement,0
L104491,8,640,"$74,681.98",30.9,57.4%,6 years,30600, 60 months,14.64%,Mortgage,credit_card,0
L104492,19,650,"$74,558.72",21.84,89.4%,8 years,13300, 60 months,14.38%,mortgage,debt_consolidation,1
L104493,9,637,49959.18,23.8,59.3%,6 years,15900, 60 months,14.49%,Mortgage,debt_consolidation,0
L104494,16,708,50083.3,31.23,88.3%,3 years,14800, 36 months,11.67%,RENT,major_purchase,0
L104495,24,614,"$76,750.55",29.96,17.7%,8 years,10900, 60 months,19.51%,rent,medical,1
L104496,8,664,"$38,788.12",19.78,84.4%,< 1 year,12200, 36 months,13.09%,mortgage,home_improvement,0
L104497,1,572,"44,901",26.84,50.0%,10+ years,25000, 36 months,21.87%,Mortgage,home_improvement,0
L104498,21,703,"$60,333.88",25.51,49.4%,7 years,24800, 36 months,11.47%,RENT,small_business,0
L104499,15,662,"$111,322.47",31.85,,9 years,4200, 60 months,13.16%,Mortgage,major_purchase,0
L104500,15,9999,"62,334",19.18,50.8%,10+ years,13500, 36 months,16.04%,Mortgage,other,1
L104501,21,750,"$61,842.47",28.51,64.8%,6 years,26600, 60 months,10.04%,MORTGAGE,credit_card,0
L104502,24,618,35266.63,15.19,29.8%,4 years,8700, 60 months,19.11%,RENT,credit_card,0
L104503,14,734,"$139,782.60",22.21,100.3%,7 years,4700, 36 months,11.18%,OWN,debt_consolidation,0
L104504,4,651,"$104,146.93",25.67,32.4%,10+ years,15100, 36 months,17.53%,MORTGAGE,debt_consolidation,0
L104505,18,778,110177.99,24.06,25.5%,6 years,14700, 60 months,7.16%,RENT,debt_consolidation,0
L104506,9,731,"$28,960.06",21.06,30.3%,3 years,16200, 36 months,12.62%,Rent,credit_card,0
L104507,9,635,71380.25,18.36,21.3%,5 years,23500, 36 months,15.69%,rent,other,1
L104508,5,640,"37,454",24.3,6.8%,6 years,21400, 36 months,15.19%,OWN,home_improvement,0
L104509,20,9999,"$88,063.61",22.72,54.4%,6 years,18200, 36 months,6.82%,MORTGAGE,debt_consolidation,0
L104510,10,676,70322.43,19.46,21.8%,3 years,10500, 36 months,13.47%,mortgage,debt_consolidation,0
L104511,1,681,77607.17,23.98,34.8%,6 years,19300, 60 months,13.12%,Mortgage,credit_card,1
L104512,23,760,"$41,843.62",6.58,0.0%,3 years,20500, 60 months,11.27%,Own,debt_consolidation,0
L104513,9,649,35599.18,21.95,91.5%,10+ years,13200, 36 months,13.27%,Rent,debt_consolidation,0
L104514,8,695,"43,462",4.89,64.9%,9 years,27400, 36 months,14.3%,Mortgage,home_improvement,0
L104515,22,743,69835.67,11.45,0.0%,10+ years,7300, 36 months,7.81%,RENT,debt_consolidation,0
L104516,5,9999,53044.44,21.15,47.6%,4 years,3200, 60 months,9.55%,rent,home_improvement,0
L104517,9,681,"$67,953.57",18.08,47.3%,2 years,10200, 36 months,14.57%,MORTGAGE,small_business,0
L104518,7,674,"35,883",4.94,48.1%,6 years,12400, 36 months,12.61%,mortgage,debt_consolidation,0
L104519,9,594,"$59,678.79",3.35,,8 years,11600, 36 months,14.73%,Mortgage,debt_consolidation,0
L104520,21,632,"120,277",15.67,14.2%,2 years,29900, 60 months,13.68%,Rent,debt_consolidation,0
L104521,8,708,70697.68,3.83,27.5%,9 years,24800, 36 months,11.97%,Own,credit_card,0
L104522,10,682,72944.47,7.34,,2 years,27100, 36 months,15.94%,Mortgage,home_improvement,0
L104523,19,694,73236.93,13.53,65.0%,7 years,25000, 36 months,11.44%,Mortgage,medical,0
L104524,24,747,"$46,352.72",25.19,43.0%,6 years,20400, 36 months,8.85%,Own,major_purchase,0
L104525,23,625,"$135,383.94",,57.2%,10+ years,4900, 60 months,19.43%,mortgage,home_improvement,0
L104526,13,677,"71,576",0.85,20.7%,5 years,4200, 36 months,13.93%,Rent,debt_consolidation,0
L104527,23,700,"$65,421.12",28.81,33.6%,7 years,28000, 60 months,13.71%,own,debt_consolidation,1
L104528,14,651,"$84,413.84",24.87,69.7%,< 1 year,12500, 60 months,16.9%,MORTGAGE,home_improvement,0
L104529,9,769,95831.52,20.92,65.5%,4 years,20000, 36 months,7.61%,Rent,credit_card,0
L104530,11,740,"32,119",,59.4%,6 years,20700, 36 months,9.97%,own,major_purchase,0
L104531,7,706,"$61,585.49",34.74,71.6%,9 years,31100, 36 months,12.97%,RENT,major_purchase,0
L104532,18,789,"$183,063.92",20.58,66.6%,,18000, 36 months,5.0%,rent,major_purchase,0
L104533,16,608,"$136,989.11",18.69,39.1%,10 years,11800, 36 months,20.75%,Own,debt_consolidation,0
L104534,24,9999,"$56,772.01",16.58,66.0%,2 years,25700, 60 months,13.36%,mortgage,debt_consolidation,0
L104535,20,710,"$86,163.30",21.49,55.1%,7 years,10500, 36 months,10.34%,RENT,debt_consolidation,0
L104536,7,640,"$50,853.07",12.16,45.4%,5 years,15900, 60 months,16.01%,Own,debt_consolidation,0
L104537,2,707,"$71,455.64",26.92,42.3%,7 years,15300, 36 months,9.95%,rent,debt_consolidation,0
L104538,8,629,"$47,612.10",28.43,78.5%,6 years,12500, 36 months,13.24%,RENT,medical,0
L104539,2,728,"47,210",28.19,70.6%,10 years,20800, 36 months,8.07%,mortgage,debt_consolidation,0
L104540,2,748,44536.87,17.63,40.3%,2 years,29000, 60 months,11.73%,rent,credit_card,0
L104541,17,705,"$138,851.55",21.02,,2 years,15100, 36 months,9.47%,Mortgage,credit_card,0
L104542,6,588,"$47,088.10",7.4,,3 years,16600, 60 months,21.66%,own,debt_consolidation,0
L104543,20,637,105967.26,7.97,70.7%,4 years,9000, 36 months,12.58%,own,debt_consolidation,0
L104544,9,721,"$48,250.85",24.17,27.4%,4 years,13500, 60 months,11.94%,Mortgage,home_improvement,0
L104545,19,691,45566.59,25.32,,10+ years,7800, 36 months,8.94%,rent,medical,0
L104546,14,542,72744.07,4.06,68.1%,4 years,3300, 60 months,23.32%,Own,home_improvement,0
L104547,24,758,31276.85,7.73,62.6%,10+ years,6500, 60 months,7.35%,RENT,credit_card,0
L104548,5,698,"$83,477.57",10.55,63.7%,5 years,20400, 36 months,9.98%,own,debt_consolidation,0
L104549,11,645,55934.41,,14.5%,9 years,10400, 60 months,13.6%,RENT,credit_card,0
L104550,16,745,45461.46,14.56,61.9%,7 years,19200, 36 months,9.91%,MORTGAGE,debt_consolidation,0
L104551,7,653,40833.49,8.69,33.3%,3 years,13800, 36 months,14.35%,Rent,credit_card,1
L104552,14,652,"$160,438.84",15.49,40.8%,4 years,18700, 36 months,12.93%,mortgage,other,1
L104553,23,710,"$58,855.75",15.36,12.8%,,16200, 36 months,10.47%,mortgage,credit_card,0
L104554,9,788,-1,25.27,76.7%,< 1 year,21900, 36 months,5.09%,mortgage,medical,0
L104555,23,779,"$92,639.95",15.87,65.9%,n/a,21200, 36 months,7.69%,OWN,credit_card,0
L104556,19,710,"$39,307.76",29.69,35.4%,< 1 year,12700, 60 months,12.68%,own,debt_consolidation,0
L104557,18,715,"$105,572.04",1.64,,10 years,11400, 36 months,9.76%,mortgage,credit_card,0
L104558,6,734,"$58,813.64",21.66,,< 1 year,20300, 36 months,6.13%,RENT,credit_card,0
L104559,11,621,"$29,974.88",34.8,83.5%,< 1 year,12200, 36 months,14.48%,Rent,home_improvement,0
L104560,8,725,"$45,924.47",16.92,65.8%,5 years,21200, 36 months,11.9%,mortgage,medical,0
L104561,20,650,"$34,628.12",15.77,40.4%,4 years,9700, 36 months,13.97%,mortgage,home_improvement,0
L104562,11,708,"$62,353.61",12.7,25.3%,8 years,14200, 60 months,12.73%,Mortgage,debt_consolidation,0
L104563,12,677,"$40,263.65",6.35,106.1%,4 years,16400, 36 months,15.08%,Rent,small_business,0
L104564,9,718,-1,26.47,43.6%,< 1 year,22400, 36 months,13.08%,Mortgage,home_improvement,0
L104565,14,696,"69,293",11.68,51.6%,< 1 year,15400, 36 months,11.44%,rent,home_improvement,0
L104566,23,521,"$61,203.95",25.25,62.6%,5 years,13700, 36 months,24.59%,Mortgage,debt_consolidation,1
L104567,8,700,109598.44,21.13,74.4%,10+ years,20200, 36 months,12.78%,Mortgage,debt_consolidation,0
L104568,22,725,107197.17,23.26,48.0%,< 1 year,12000, 36 months,8.78%,own,credit_card,0
L104569,2,715,"$61,739.77",10.44,76.6%,10+ years,18800, 36 months,11.34%,rent,debt_consolidation,0
L104570,10,684,"$76,866.40",20.74,116.7%,4 years,18200, 36 months,12.81%,MORTGAGE,debt_consolidation,0
L104571,22,780,29620.92,18.04,46.0%,3 years,24900, 60 months,10.07%,Rent,credit_card,0
L104572,20,707,84797.43,19.53,67.2%,7 years,14000, 36 months,8.83%,Rent,debt_consolidation,0
L104573,11,714,"73,523",0.0,30.1%,,16400, 36 months,9.43%,mortgage,debt_consolidation,0
L104574,5,747,"$96,475.06",22.2,43.6%,4 years,12700, 36 months,8.68%,RENT,home_improvement,0
L104575,20,710,"$51,373.95",35.86,33.6%,3 years,13500, 60 months,13.52%,MORTGAGE,credit_card,0
L104576,8,641,"$51,598.25",7.79,27.2%,,22200, 36 months,14.99%,mortgage,debt_consolidation,0
L104577,20,9999,51759.62,25.57,27.4%,4 years,13400, 36 months,19.45%,rent,credit_card,1
L104578,5,664,"$122,674.78",16.12,87.4%,6 years,12700, 36 months,13.99%,Mortgage,small_business,0
L104579,23,732,"$68,972.38",9.7,96.0%,3 years,23200, 36 months,8.45%,Mortgage,credit_card,0
L104580,7,671,"$28,339.72",12.38,85.4%,10+ years,9200, 36 months,15.99%,MORTGAGE,credit_card,0
L104581,19,734,"$82,635.17",29.67,50.3%,2 years,13100, 36 months,10.78%,MORTGAGE,medical,0
L104582,13,698,"47,494",20.31,74.1%,< 1 year,1000, 36 months,9.4%,RENT,debt_consolidation,0
L104583,5,761,0,16.99,18.9%,9 years,12400, 60 months,10.85%,Mortgage,debt_consolidation,0
L104584,8,674,"$78,384.03",5.41,0.0%,10+ years,10800, 60 months,16.12%,Rent,major_purchase,0
L104585,14,716,"111,326",22.4,44.8%,6 years,10700, 36 months,13.1%,Mortgage,debt_consolidation,1
L104586,8,718,"$100,652.54",26.64,57.9%,3 years,17100, 60 months,13.75%,Mortgage,home_improvement,0
L104587,7,773,"$95,672.24",20.41,46.2%,3 years,10700, 60 months,8.01%,MORTGAGE,small_business,0
L104588,21,596,105581.37,8.86,58.3%,3 years,13700, 36 months,15.55%,mortgage,credit_card,0
L104589,14,665,"89,997",22.21,54.7%,9 years,19100, 36 months,13.32%,mortgage,major_purchase,0
L104590,16,737,"$42,322.70",32.88,41.3%,n/a,20100, 36 months,12.63%,Mortgage,medical,0
L104591,5,775,33799.71,16.72,,6 years,13100, 36 months,8.39%,rent,debt_consolidation,0
L104592,16,703,"$39,532.30",26.29,62.3%,3 years,12100, 60 months,11.04%,Mortgage,debt_consolidation,0
L104593,23,674,"$86,279.51",16.22,97.7%,2 years,7700, 36 months,13.52%,own,major_purchase,1
L104594,4,732,"$19,698.57",16.57,43.2%,3 years,1300, 36 months,10.72%,mortgage,credit_card,0
L104595,4,738,59414.9,19.64,85.6%,6 years,13700, 60 months,8.82%,MORTGAGE,home_improvement,0
L104596,3,670,"52,421",15.11,36.3%,,17600, 36 months,15.93%,Mortgage,credit_card,0
L104597,14,708,"110,406",14.34,35.0%,4 years,11300, 36 months,11.34%,RENT,debt_consolidation,0
L104598,10,755,"$56,465.99",18.15,74.9%,2 years,18000, 36 months,8.95%,MORTGAGE,debt_consolidation,0
L104599,24,794,"49,799",25.73,92.8%,< 1 year,22400, 36 months,6.03%,Mortgage,small_business,0
L104600,24,731,115613.45,18.67,28.1%,9 years,20700, 36 months,9.54%,rent,home_improvement,0
L104601,13,692,"57,185",17.71,5.1%,5 years,19900, 36 months,12.62%,Rent,other,0
L104602,4,687,52748.12,19.58,43.3%,6 years,16500, 60 months,14.23%,Mortgage,home_improvement,0
L104603,11,721,46881.9,,84.8%,10+ years,16400, 60 months,8.45%,Mortgage,credit_card,1
L104604,19,684,69066.17,10.13,62.2%,< 1 year,22400, 36 months,14.11%,Mortgage,small_business,0
L104605,18,700,0,23.37,10.6%,3 years,11700, 36 months,11.81%,rent,credit_card,0
L104606,18,632,50821.01,24.74,37.5%,3 years,17100, 60 months,19.35%,Rent,other,1
L104607,3,761,123638.38,16.69,59.2%,7 years,1000, 60 months,10.65%,MORTGAGE,other,0
L104608,24,627,,27.83,80.8%,< 1 year,10600, 60 months,18.17%,rent,debt_consolidation,1
L104609,20,666,47853.12,25.51,45.5%,10+ years,20100, 36 months,10.31%,rent,other,1
L104610,12,695,36404.5,24.69,69.0%,< 1 year,13200, 36 months,8.18%,rent,debt_consolidation,0
L104611,13,9999,"$66,121.99",7.83,71.2%,7 years,19100, 36 months,5.24%,MORTGAGE,credit_card,0
L104612,5,667,45257.59,13.72,55.7%,,22200, 36 months,8.98%,RENT,debt_consolidation,0
L104613,23,653,"$49,803.15",12.66,47.0%,10+ years,22200, 36 months,13.74%,rent,home_improvement,0
L104614,8,660,"39,114",23.79,,8 years,12200, 36 months,15.43%,own,debt_consolidation,0
L104615,19,781,66068.65,25.22,42.2%,,14200, 36 months,5.55%,Mortgage,debt_consolidation,0
L104616,21,535,"$31,205.11",,37.8%,6 years,5000, 36 months,20.03%,rent,other,1
L104617,22,9999,73550.92,16.0,15.9%,10+ years,11500, 36 months,15.56%,Rent,debt_consolidation,0
L104618,15,840,"$45,559.02",,,6 years,19100, 60 months,5.0%,own,credit_card,0
L104619,15,722,"$85,675.24",19.61,18.3%,< 1 year,8800, 36 months,9.63%,rent,other,0
L104620,17,629,"$76,315.51",21.67,51.2%,8 years,17100, 60 months,17.81%,RENT,home_improvement,1
L104621,21,688,"63,070",16.13,,10+ years,13700, 36 months,10.29%,rent,debt_consolidation,0
L104622,15,694,"$91,406.46",28.67,62.4%,1 years,2700, 60 months,15.33%,rent,small_business,0
L104623,20,737,"$130,414.74",21.31,84.2%,5 years,21500, 36 months,9.34%,OWN,credit_card,0
L104624,12,791,"112,899",19.46,47.1%,2 years,17800, 36 months,7.57%,RENT,credit_card,0
L104625,23,711,"$31,087.71",19.8,60.2%,1 years,21600, 36 months,11.0%,mortgage,debt_consolidation,0
L104626,19,660,44237.01,14.71,39.6%,n/a,9200, 36 months,14.68%,mortgage,major_purchase,1
L104627,6,733,"$47,029.41",10.46,0.0%,< 1 year,20200, 36 months,10.61%,rent,debt_consolidation,0
L104628,12,652,82397.06,18.07,21.2%,4 years,13800, 60 months,15.09%,MORTGAGE,major_purchase,1
L104629,15,633,46114.63,30.44,,4 years,19700, 60 months,16.03%,own,credit_card,1
L104630,9,593,45218.34,15.71,,< 1 year,10300, 60 months,19.63%,Rent,small_business,1
L104631,4,604,"41,478",26.45,15.4%,8 years,14300, 36 months,15.32%,Own,major_purchase,0
L104632,21,641,"$69,525.20",14.88,60.9%,10+ years,18400, 36 months,16.62%,Mortgage,major_purchase,0
L104633,12,9999,"$82,235.16",3.0,62.0%,10+ years,11200, 36 months,16.37%,rent,home_improvement,0
L104634,16,707,32669.48,13.83,14.9%,7 years,10500, 60 months,12.19%,RENT,debt_consolidation,0
L104635,6,624,0,5.02,,< 1 year,8700, 60 months,18.1%,RENT,credit_card,0
L104636,24,520,23213.41,24.0,47.1%,8 years,11600, 36 months,22.43%,Mortgage,credit_card,1
L104637,21,633,"$18,108.86",3.34,16.2%,9 years,21800, 60 months,15.11%,Own,small_business,1
L104638,14,664,76292.73,18.67,51.4%,4 years,13600, 36 months,16.43%,MORTGAGE,home_improvement,0
L104639,11,657,"$70,102.46",12.0,22.3%,10 years,7300, 36 months,14.96%,Rent,debt_consolidation,0
L104640,19,774,"$65,264.44",13.03,,2 years,6200, 60 months,12.28%,own,home_improvement,0
L104641,18,656,132387.56,24.95,6.2%,4 years,16800, 60 months,15.09%,OWN,credit_card,0
L104642,6,738,"$25,903.47",17.06,75.6%,< 1 year,1000, 36 months,8.05%,rent,debt_consolidation,0
L104643,22,689,"$21,161.69",17.77,92.5%,5 years,18100, 36 months,12.74%,MORTGAGE,home_improvement,1
L104644,17,688,34143.53,17.26,87.1%,8 years,9800, 36 months,10.57%,MORTGAGE,debt_consolidation,0
L104645,7,644,"$20,747.48",14.85,82.2%,4 years,1900, 36 months,16.15%,RENT,debt_consolidation,1
L104646,1,687,"44,061",,40.7%,10 years,16500, 60 months,12.8%,RENT,debt_consolidation,0
L104647,21,648,"$80,131.93",4.67,50.9%,4 years,1000, 36 months,15.74%,rent,debt_consolidation,0
L104648,11,699,"$69,444.33",21.07,55.8%,10+ years,14600, 36 months,11.57%,RENT,credit_card,0
L104649,21,677,-1,20.41,20.4%,10+ years,28300, 36 months,13.86%,rent,debt_consolidation,0
L104650,6,638,"$72,069.32",27.16,71.2%,8 years,16400, 36 months,17.67%,rent,credit_card,0
L104651,20,9999,"$48,921.87",21.23,68.0%,9 years,19400, 36 months,6.63%,Mortgage,medical,0
L104652,10,713,"46,029",14.41,60.5%,10+ years,16700, 36 months,11.45%,mortgage,debt_consolidation,0
L104653,8,665,74512.9,16.73,12.1%,6 years,15700, 36 months,13.54%,mortgage,credit_card,0
